product,strategy,horizon,n_events,total_pnl,mean_pnl_per_event,median_pnl_per_event,std_pnl_per_event,sharpe_per_event,hit_rate,family
MICROCHIP_RECTANGLE,FADE,20,18,-3540.0,-196.66666666666666,-135.0,455.81428966923215,-0.4314622668134878,0.3333333333333333,MICROCHIP
MICROCHIP_RECTANGLE,FOLLOW,20,18,340.0,18.88888888888889,-45.0,456.3732498842111,0.0413891236913673,0.4444444444444444,MICROCHIP
MICROCHIP_RECTANGLE,FADE,50,18,-3020.0,-167.77777777777777,55.0,592.2795469441731,-0.2832746439471294,0.5555555555555556,MICROCHIP
MICROCHIP_RECTANGLE,FOLLOW,50,18,-180.0,-10.0,-235.0,591.9647136630884,-0.016892898798172983,0.3888888888888889,MICROCHIP
MICROCHIP_RECTANGLE,FADE,100,18,-1640.0,-91.11111111111111,110.0,722.8561320583239,-0.1260432153375712,0.5555555555555556,MICROCHIP
MICROCHIP_RECTANGLE,FOLLOW,100,18,-1550.0,-86.11111111111111,-290.0,720.0242194143262,-0.11959474249512693,0.3888888888888889,MICROCHIP
MICROCHIP_RECTANGLE,FADE,200,18,-1550.0,-86.11111111111111,40.0,891.2733642808715,-0.09661582468650379,0.5555555555555556,MICROCHIP
MICROCHIP_RECTANGLE,FOLLOW,200,18,-1630.0,-90.55555555555556,-220.0,891.4125633087585,-0.10158658210899574,0.2777777777777778,MICROCHIP
MICROCHIP_TRIANGLE,FADE,5,17,-570.0,-33.529411764705884,-50.0,309.09623813476884,-0.10847563841940629,0.4117647058823529,MICROCHIP
MICROCHIP_TRIANGLE,FOLLOW,5,17,-2460.0,-144.7058823529412,-130.0,311.5259907400575,-0.46450661150031036,0.29411764705882354,MICROCHIP
MICROCHIP_TRIANGLE,FADE,10,17,-480.0,-28.235294117647058,-90.0,425.18141863718046,-0.0664076389042322,0.4117647058823529,MICROCHIP
MICROCHIP_TRIANGLE,FOLLOW,10,17,-2500.0,-147.05882352941177,-60.0,428.24903016108516,-0.3433955786755567,0.4117647058823529,MICROCHIP
MICROCHIP_TRIANGLE,FADE,20,17,3250.0,191.1764705882353,440.0,674.8671534016783,0.2832801531747506,0.5294117647058824,MICROCHIP
MICROCHIP_TRIANGLE,FOLLOW,20,17,-6280.0,-369.4117647058824,-630.0,678.5405669803849,-0.5444210452292106,0.47058823529411764,MICROCHIP
MICROCHIP_TRIANGLE,FADE,50,16,30.0,1.875,475.0,1401.4867942206947,0.0013378649072769931,0.5625,MICROCHIP
MICROCHIP_TRIANGLE,FOLLOW,50,16,-2920.0,-182.5,-660.0,1405.0645002988297,-0.12988727560989963,0.4375,MICROCHIP
MICROCHIP_TRIANGLE,FADE,100,15,-2260.0,-150.66666666666666,80.0,1624.2720078716977,-0.09275950452663832,0.5333333333333333,MICROCHIP
MICROCHIP_TRIANGLE,FOLLOW,100,15,-390.0,-26.0,-260.0,1634.2411082823733,-0.015909525141811313,0.4666666666666667,MICROCHIP
MICROCHIP_TRIANGLE,FADE,200,15,2180.0,145.33333333333334,360.0,2321.7719286977544,0.06259586979107312,0.5333333333333333,MICROCHIP
MICROCHIP_TRIANGLE,FOLLOW,200,15,-4920.0,-328.0,-520.0,2323.3142993003194,-0.1411776271935223,0.4,MICROCHIP
ROBOT_DISHES,FADE,5,117,-1190.0,-10.17094017094017,-80.0,484.35344674911585,-0.020999004423743653,0.1623931623931624,ROBOT
ROBOT_DISHES,FOLLOW,5,117,-17410.0,-148.8034188034188,-80.0,484.4613934027287,-0.307152274319039,0.08547008547008547,ROBOT
ROBOT_DISHES,FADE,10,117,6650.0,56.837606837606835,-80.0,583.9544672166718,0.09733225795585476,0.2564102564102564,ROBOT
ROBOT_DISHES,FOLLOW,10,117,-25220.0,-215.55555555555554,-80.0,584.2190264320433,-0.36896360064135825,0.11965811965811966,ROBOT
ROBOT_DISHES,FADE,20,117,16250.0,138.88888888888889,-80.0,687.5843727904255,0.20199541232334256,0.358974358974359,ROBOT
ROBOT_DISHES,FOLLOW,20,117,-34790.0,-297.35042735042737,-80.0,687.9753438764129,-0.43221087790007057,0.1452991452991453,ROBOT
ROBOT_DISHES,FADE,50,117,3860.0,32.99145299145299,-80.0,817.54716004724,0.04035418946296218,0.3076923076923077,ROBOT
ROBOT_DISHES,FOLLOW,50,117,-22440.0,-191.7948717948718,-80.0,817.7618145113203,-0.23453635079486435,0.23931623931623933,ROBOT
ROBOT_DISHES,FADE,100,116,9940.0,85.6896551724138,-80.0,1071.0148459465033,0.08000790604978593,0.3879310344827586,ROBOT
ROBOT_DISHES,FOLLOW,100,116,-28180.0,-242.93103448275863,-80.0,1070.6620713865914,-0.22689795498979792,0.27586206896551724,ROBOT
ROBOT_DISHES,FADE,200,116,-1170.0,-10.086206896551724,-80.0,1511.8340629671236,-0.00667150393261847,0.3706896551724138,ROBOT
ROBOT_DISHES,FOLLOW,200,116,-17200.0,-148.27586206896552,-80.0,1511.8601672375091,-0.09807511652343956,0.3879310344827586,ROBOT
ROBOT_IRONING,FADE,5,50,1980.0,39.6,-80.0,461.7616701286498,0.08575852558088501,0.22,ROBOT
ROBOT_IRONING,FOLLOW,5,50,-9820.0,-196.4,-80.0,459.8032622763784,-0.4271392052063083,0.08,ROBOT
ROBOT_IRONING,FADE,10,50,2020.0,40.4,-80.0,548.1093321591961,0.07370792217831822,0.28,ROBOT
ROBOT_IRONING,FOLLOW,10,50,-9700.0,-194.0,-80.0,542.5605956941583,-0.35756374779077743,0.14,ROBOT
ROBOT_IRONING,FADE,20,50,3530.0,70.6,-80.0,566.7112492266233,0.12457843407263584,0.3,ROBOT
ROBOT_IRONING,FOLLOW,20,50,-11310.0,-226.2,-80.0,563.3076956690721,-0.40155673664519986,0.12,ROBOT
ROBOT_IRONING,FADE,50,50,9190.0,183.8,-80.0,744.0023924692716,0.24704221634286105,0.48,ROBOT
ROBOT_IRONING,FOLLOW,50,50,-16970.0,-339.4,-80.0,741.9121511338118,-0.4574665605372806,0.22,ROBOT
ROBOT_IRONING,FADE,100,50,9880.0,197.6,-80.0,820.2110947798743,0.24091359072999527,0.46,ROBOT
ROBOT_IRONING,FOLLOW,100,50,-17680.0,-353.6,-80.0,817.9627375375971,-0.4322935309553108,0.22,ROBOT
ROBOT_IRONING,FADE,200,50,10690.0,213.8,-80.0,1203.765575184803,0.17760933225489295,0.46,ROBOT
ROBOT_IRONING,FOLLOW,200,50,-18510.0,-370.2,-80.0,1201.61306584108,-0.30808586434675217,0.3,ROBOT
OXYGEN_SHAKE_CHOCOLATE,FADE,5,60,880.0,14.666666666666666,-130.0,629.1567548888132,0.023311625525277258,0.3,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FOLLOW,5,60,-17150.0,-285.8333333333333,-140.0,631.3326953534263,-0.45274596965601627,0.15,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FADE,10,60,-2300.0,-38.333333333333336,-140.0,579.2528712823864,-0.06617720037963488,0.23333333333333334,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FOLLOW,10,60,-13870.0,-231.16666666666666,-140.0,578.6653945838552,-0.39948244500245117,0.13333333333333333,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FADE,20,60,-1240.0,-20.666666666666668,-140.0,780.4098638251285,-0.02648181119260889,0.35,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FOLLOW,20,60,-14920.0,-248.66666666666666,-140.0,779.1351330517418,-0.31915730162581807,0.21666666666666667,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FADE,50,60,-2700.0,-45.0,-140.0,1000.375762734517,-0.044983097028453545,0.36666666666666664,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FOLLOW,50,60,-13380.0,-223.0,-140.0,998.1654839420833,-0.22340984895540544,0.3333333333333333,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FADE,100,60,-2370.0,-39.5,-145.0,1465.0476954693318,-0.026961579559596573,0.43333333333333335,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FOLLOW,100,60,-13710.0,-228.5,-115.0,1467.1023879288953,-0.1557491841606044,0.48333333333333334,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FADE,200,60,-6010.0,-100.16666666666667,-245.0,2115.1914741276314,-0.04735583888828713,0.4666666666666667,OXYGEN_SHAKE
OXYGEN_SHAKE_CHOCOLATE,FOLLOW,200,60,-9940.0,-165.66666666666666,-10.0,2117.1611233494305,-0.07824943734304719,0.5,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FADE,5,56,-720.0,-12.857142857142858,-140.0,467.9808996625606,-0.027473648745949993,0.17857142857142858,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FOLLOW,5,56,-14520.0,-259.2857142857143,-140.0,465.6173211940449,-0.556864408782717,0.07142857142857142,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FADE,10,56,1140.0,20.357142857142858,-140.0,502.2732760933544,0.04053001389100224,0.23214285714285715,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FOLLOW,10,56,-16260.0,-290.35714285714283,-140.0,498.2862211252337,-0.5827115632486408,0.07142857142857142,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FADE,20,56,1950.0,34.82142857142857,-140.0,544.8328415717082,0.06391213215227141,0.25,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FOLLOW,20,56,-16990.0,-303.39285714285717,-140.0,546.4896966278578,-0.5551666555013902,0.10714285714285714,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FADE,50,56,1010.0,18.035714285714285,-140.0,675.9792358467221,0.02668087025354115,0.2857142857142857,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FOLLOW,50,56,-16190.0,-289.10714285714283,-140.0,674.2013179250221,-0.4288142653694641,0.17857142857142858,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FADE,100,56,1500.0,26.785714285714285,-140.0,845.4776907229451,0.031681160342398325,0.35714285714285715,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FOLLOW,100,56,-16570.0,-295.89285714285717,-140.0,844.1241800692306,-0.35053237915609714,0.19642857142857142,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FADE,200,56,2750.0,49.107142857142854,-140.0,925.1761932304614,0.053078692703574855,0.30357142857142855,OXYGEN_SHAKE
OXYGEN_SHAKE_EVENING_BREATH,FOLLOW,200,56,-17720.0,-316.42857142857144,-140.0,925.5875133654079,-0.34186780489080587,0.17857142857142858,OXYGEN_SHAKE
