family,product,n_ticks,n_spikes,spike_rate_per_10k,abs_ret_mean,abs_ret_p90,z_mean,z_max,post_h1_mean,post_h5_mean,post_h10_mean,post_h50_mean,post_h200_mean,post_h1_n,post_h5_n,post_h10_n,post_h50_n,post_h200_n,spread_at_spike_mean,spread_baseline_mean,spread_widen_x,depth_at_spike_mean,depth_baseline_mean,depth_drop_x
MICROCHIP,MICROCHIP_OVAL,30000,5,1.6666666666666665,50.4,59.6,4.336553585393348,5.20524052819807,2.4,10.8,14.7,-45.2,-105.3,5,5,5,5,5,7.6,7.449766666666667,1.0201661797013775,17.2,15.544066666666666,1.1065315382932823
MICROCHIP,MICROCHIP_SQUARE,30000,10,3.333333333333333,45.3,93.55,6.790047865676373,17.931682027312224,4.05,-3.5,-33.2,-29.7,-139.75,10,10,10,10,10,10.4,11.7188,0.887462880158378,10.6,11.914766666666667,0.889652336176677
MICROCHIP,MICROCHIP_RECTANGLE,30000,18,5.999999999999999,29.5,52.95,6.046973489024321,13.573040843348139,0.1388888888888889,5.333333333333333,2.25,-2.4722222222222223,-4.694444444444445,18,18,18,18,18,8.0,7.885766666666667,1.0144860148875823,11.222222222222221,14.444266666666667,0.7769326391709436
MICROCHIP,MICROCHIP_TRIANGLE,30000,17,5.666666666666667,34.0,53.5,6.20242765695657,16.316300303476137,-4.764705882352941,3.8823529411764706,1.2058823529411764,5.46875,13.7,17,17,17,16,15,8.882352941176471,8.635433333333333,1.0285937715354725,13.705882352941176,12.8759,1.064460142820399
PEBBLES,PEBBLES_XS,30000,2,0.6666666666666667,62.75,62.95,4.155420695894524,4.184869238540039,-13.75,-2.75,10.75,61.25,-79.25,2,2,2,2,2,11.0,9.744866666666667,1.1287994362844027,43.0,26.795333333333332,1.6047570472470332
PEBBLES,PEBBLES_S,30000,1,0.33333333333333337,59.5,59.5,4.055863748315959,4.055863748315959,4.5,35.5,57.0,34.0,,1,1,1,1,0,12.0,11.551533333333333,1.0388231288198393,22.0,24.813633333333332,0.8866093773718481
PEBBLES,PEBBLES_M,30000,2,0.6666666666666667,63.25,64.25,4.196054725901954,4.233762945660147,-4.5,-33.75,-22.0,-13.0,-136.25,2,2,2,2,2,13.5,13.1209,1.0288928350951534,26.0,24.813633333333332,1.0478110823485478
PEBBLES,PEBBLES_L,30000,1,0.33333333333333337,59.0,59.0,4.002275591981192,4.002275591981192,-17.0,0.5,-19.0,25.0,-168.0,1,1,1,1,1,15.0,13.0205,1.152029491954994,20.0,24.813633333333332,0.8060085248834983
PEBBLES,PEBBLES_XL,30000,1,0.33333333333333337,121.0,121.0,4.062975256622464,4.062975256622464,27.0,-44.5,-103.0,-144.0,216.0,1,1,1,1,1,17.0,16.630766666666666,1.0222018227261522,20.0,24.813633333333332,0.8060085248834983
ROBOT,ROBOT_VACUUMING,30000,0,0.0,,,,,,,,,,0,0,0,0,0,,,,,,
ROBOT,ROBOT_MOPPING,30000,2,0.6666666666666667,44.75,46.15,4.076832110192383,4.13171365186746,-1.5,-16.75,-27.75,-3.25,-257.0,2,2,2,2,2,8.5,7.970666666666666,1.0664101706256273,18.0,14.129333333333333,1.273945456261206
ROBOT,ROBOT_DISHES,30000,117,39.0,99.08119658119658,100.0,4.661798663025361,9.37822503975728,28.692307692307693,36.333333333333336,43.23504273504273,42.5940170940171,41.72844827586207,117,117,117,117,116,7.82051282051282,7.350266666666666,1.063976747398664,11.752136752136753,15.233766666666666,0.7714531152595279
ROBOT,ROBOT_LAUNDRY,30000,1,0.33333333333333337,41.5,41.5,4.067296293390046,4.067296293390046,3.5,6.0,-4.5,11.0,43.0,1,1,1,1,1,7.0,7.165066666666666,0.9769622985596785,8.0,16.095133333333333,0.4970446553202417
ROBOT,ROBOT_IRONING,30000,50,16.666666666666668,96.36,100.0,5.657042530325241,8.657969914360681,23.56,33.16,35.96,45.44,57.27,50,50,50,50,50,7.84,6.392933333333334,1.2263540993179969,21.1,16.702933333333334,1.2632511654639504
UV_VISOR,UV_VISOR_AMBER,30000,4,1.3333333333333335,36.25,40.5,4.289345434012478,4.562138009021698,-5.5,2.875,-5.125,32.875,76.0,4,4,4,4,4,11.5,10.3205,1.1142870984932902,32.5,36.5396,0.8894459709465895
UV_VISOR,UV_VISOR_MAGENTA,30000,4,1.3333333333333335,46.625,48.85,4.19216124786967,4.428835789967962,-1.375,-3.25,-7.25,22.375,-120.375,4,4,4,4,4,14.25,14.0916,1.0112407391637572,34.5,36.5128,0.9448741263337789
UV_VISOR,UV_VISOR_ORANGE,30000,4,1.3333333333333335,43.75,47.1,4.358123433345316,4.583952431878864,4.75,5.375,19.5,-6.125,28.25,4,4,4,4,4,14.0,13.2841,1.053891494342861,30.0,36.5128,0.8216296750728512
UV_VISOR,UV_VISOR_RED,30000,2,0.6666666666666667,45.5,45.9,4.336824884947562,4.572987895432485,-1.5,-8.5,-11.75,2.75,25.75,2,2,2,2,2,13.5,14.039433333333333,0.9615772716372694,44.0,36.5128,1.2050568567735152
UV_VISOR,UV_VISOR_YELLOW,30000,3,1.0,47.333333333333336,47.9,4.195992705199115,4.316211295171498,-7.5,-12.333333333333334,-10.75,1.75,62.25,3,3,2,2,2,14.666666666666666,13.909966666666667,1.0543998427985688,33.333333333333336,36.5128,0.912921861192057
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,30000,3,1.0,38.0,38.4,4.297739636474486,4.4380605282314844,-1.0,-8.666666666666666,-16.666666666666668,-26.0,21.166666666666668,3,3,3,3,3,8.333333333333334,8.3664,0.9960476827946707,24.0,24.097633333333334,0.9959484264706492
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,30000,1,0.33333333333333337,40.0,40.0,4.173440186144409,4.173440186144409,-14.0,-17.0,-38.0,-156.5,-323.0,1,1,1,1,1,9.0,8.700433333333333,1.0344312352258318,22.0,22.6464,0.9714568319909567
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,30000,2,0.6666666666666667,42.75,45.75,4.094408601859904,4.149973968242879,-1.0,-17.25,-34.5,-49.0,-17.5,2,2,2,2,2,9.5,8.9121,1.0659664949899574,23.0,22.202666666666666,1.0359116022099448
TRANSLATOR,TRANSLATOR_SPACE_GRAY,30000,1,0.33333333333333337,36.5,36.5,4.005549246315191,4.005549246315191,13.0,-1.0,-5.0,30.5,22.5,1,1,1,1,1,8.0,8.402166666666666,0.9521353619106183,18.0,23.884966666666667,0.7536121046850948
TRANSLATOR,TRANSLATOR_VOID_BLUE,30000,2,0.6666666666666667,46.0,46.8,4.205679123504833,4.231707343297227,-7.5,-17.75,-32.5,-72.75,-21.0,2,2,2,2,2,9.5,9.524666666666667,0.9974102330790229,25.0,21.824166666666667,1.1455191110771699
PANEL,PANEL_1X2,30000,1,0.33333333333333337,39.5,39.5,4.617095985328847,4.617095985328847,3.0,15.0,28.5,-22.5,14.0,1,1,1,1,1,7.0,11.509766666666666,0.6081791406139134,19.0,36.5128,0.5203654608794724
PANEL,PANEL_1X4,30000,3,1.0,39.333333333333336,43.1,4.232220829482896,4.378558336978908,-5.166666666666667,-10.5,-19.5,27.166666666666668,118.33333333333333,3,3,3,3,3,9.0,8.376633333333332,1.0744173275659674,32.0,24.3759,1.3127720412374517
PANEL,PANEL_2X2,30000,2,0.6666666666666667,36.5,36.9,4.034590937793327,4.057438110097551,-2.75,4.0,14.75,64.75,55.25,2,2,2,2,2,8.0,8.515466666666667,0.9394670090501989,20.0,23.663433333333334,0.8451858915936402
PANEL,PANEL_2X4,30000,1,0.33333333333333337,48.0,48.0,4.04464276610928,4.04464276610928,6.0,-26.5,-72.0,-28.0,-94.0,1,1,1,1,1,10.0,9.8405,1.016208525989533,28.0,21.736333333333334,1.2881657439923937
PANEL,PANEL_4X4,30000,2,0.6666666666666667,39.75,40.35,4.32167032998629,4.5457536148453475,-11.5,17.25,19.5,31.0,87.25,2,2,2,2,2,8.5,8.750466666666666,0.9713767646677892,19.0,22.64206666666667,0.839146014350869
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,30000,60,20.0,95.95,100.0,6.120889545210319,9.682901043333091,28.691666666666666,40.4,38.15,42.85,31.883333333333333,60,60,60,60,60,13.366666666666667,12.185466666666667,1.0969351467868829,35.983333333333334,36.5128,0.9854991491568255
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,30000,2,0.6666666666666667,40.5,41.7,4.066156987704474,4.1102377905897445,-2.0,15.25,26.25,-40.75,-100.75,2,2,2,2,2,12.5,12.593566666666666,0.9925702805930012,35.0,36.5128,0.9585679542516597
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,30000,0,0.0,,,,,,,,,,0,0,0,0,0,,,,,,
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,30000,0,0.0,,,,,,,,,,0,0,0,0,0,,,,,,
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,30000,56,18.666666666666668,96.72321428571429,100.0,5.258342860169182,10.835759418649658,23.508928571428573,33.857142857142854,37.017857142857146,37.67857142857143,46.1875,56,56,56,56,56,13.232142857142858,11.860466666666667,1.1156511146674546,35.69642857142857,36.5128,0.9776415002801365
SNACKPACK,SNACKPACK_CHOCOLATE,30000,3,1.0,26.333333333333332,27.4,4.0837470348069145,4.18531166446292,7.666666666666667,9.833333333333334,1.8333333333333333,-2.5,57.666666666666664,3,3,3,3,3,11.0,16.471166666666665,0.6678336891740112,46.666666666666664,58.9913,0.7910771023297785
SNACKPACK,SNACKPACK_VANILLA,30000,1,0.33333333333333337,27.0,27.0,4.280884150731385,4.280884150731385,-4.0,7.0,18.0,84.0,29.0,1,1,1,1,1,17.0,16.868666666666666,1.0077856380666323,74.0,58.9913,1.2544222622657917
SNACKPACK,SNACKPACK_RASPBERRY,30000,2,0.6666666666666667,32.0,32.8,4.066813768401278,4.075082532963104,3.25,5.0,30.25,57.75,87.5,2,2,2,2,2,17.0,16.842466666666667,1.0093533409595585,43.0,58.9913,0.7289210442895816
SNACKPACK,SNACKPACK_STRAWBERRY,30000,1,0.33333333333333337,36.0,36.0,4.419850882507847,4.419850882507847,17.0,10.5,1.5,39.0,93.0,1,1,1,1,1,19.0,17.826466666666665,1.0658309554707046,54.0,58.9913,0.9153892184101723
SNACKPACK,SNACKPACK_PISTACHIO,30000,1,0.33333333333333337,21.5,21.5,4.237425106955306,4.237425106955306,0.5,22.5,3.5,20.5,16.5,1,1,1,1,1,7.0,15.925633333333334,0.4395429590450615,35.0,58.9913,0.593307826747334
