family,product,horizon,mean,median,std,n
PEBBLES,PEBBLES_M,1,-4.5,-4.5,4.5,2
PEBBLES,PEBBLES_M,5,-33.75,-33.75,0.25,2
PEBBLES,PEBBLES_M,10,-22.0,-22.0,19.0,2
PEBBLES,PEBBLES_M,50,-13.0,-13.0,76.0,2
PEBBLES,PEBBLES_M,200,-136.25,-136.25,173.25,2
PEBBLES,PEBBLES_L,1,-17.0,-17.0,0.0,1
PEBBLES,PEBBLES_L,5,0.5,0.5,0.0,1
PEBBLES,PEBBLES_L,10,-19.0,-19.0,0.0,1
PEBBLES,PEBBLES_L,50,25.0,25.0,0.0,1
PEBBLES,PEBBLES_L,200,-168.0,-168.0,0.0,1
PEBBLES,PEBBLES_XL,1,27.0,27.0,0.0,1
PEBBLES,PEBBLES_XL,5,-44.5,-44.5,0.0,1
PEBBLES,PEBBLES_XL,10,-103.0,-103.0,0.0,1
PEBBLES,PEBBLES_XL,50,-144.0,-144.0,0.0,1
PEBBLES,PEBBLES_XL,200,216.0,216.0,0.0,1
ROBOT,ROBOT_VACUUMING,1,,,,0
ROBOT,ROBOT_VACUUMING,5,,,,0
ROBOT,ROBOT_VACUUMING,10,,,,0
ROBOT,ROBOT_VACUUMING,50,,,,0
ROBOT,ROBOT_VACUUMING,200,,,,0
ROBOT,ROBOT_MOPPING,1,-1.5,-1.5,3.0,2
ROBOT,ROBOT_MOPPING,5,-16.75,-16.75,6.25,2
ROBOT,ROBOT_MOPPING,10,-27.75,-27.75,36.25,2
ROBOT,ROBOT_MOPPING,50,-3.25,-3.25,17.25,2
ROBOT,ROBOT_MOPPING,200,-257.0,-257.0,27.0,2
ROBOT,ROBOT_DISHES,1,28.692307692307693,0.0,44.885887896769894,117
ROBOT,ROBOT_DISHES,5,36.333333333333336,0.0,47.88162040542877,117
ROBOT,ROBOT_DISHES,10,43.23504273504273,0.0,49.24496471502949,117
ROBOT,ROBOT_DISHES,50,42.5940170940171,0.0,72.2663027365686,117
ROBOT,ROBOT_DISHES,200,41.72844827586207,0.0,149.31476230574035,116
ROBOT,ROBOT_LAUNDRY,1,3.5,3.5,0.0,1
ROBOT,ROBOT_LAUNDRY,5,6.0,6.0,0.0,1
ROBOT,ROBOT_LAUNDRY,10,-4.5,-4.5,0.0,1
ROBOT,ROBOT_LAUNDRY,50,11.0,11.0,0.0,1
ROBOT,ROBOT_LAUNDRY,200,43.0,43.0,0.0,1
ROBOT,ROBOT_IRONING,1,23.56,0.0,43.00193484019062,50
ROBOT,ROBOT_IRONING,5,33.16,0.0,46.04882626082884,50
ROBOT,ROBOT_IRONING,10,35.96,0.0,48.570756634007665,50
ROBOT,ROBOT_IRONING,50,45.44,5.0,56.80005633800024,50
ROBOT,ROBOT_IRONING,200,57.27,100.0,105.25413103531851,50
UV_VISOR,UV_VISOR_AMBER,1,-5.5,-6.25,4.168333000133266,4
UV_VISOR,UV_VISOR_AMBER,5,2.875,-0.5,17.227793677659367,4
UV_VISOR,UV_VISOR_AMBER,10,-5.125,-15.25,25.442029694975204,4
UV_VISOR,UV_VISOR_AMBER,50,32.875,38.5,43.03831868230914,4
UV_VISOR,UV_VISOR_AMBER,200,76.0,88.25,32.682181689722,4
UV_VISOR,UV_VISOR_MAGENTA,1,-1.375,-3.75,5.560744104883806,4
UV_VISOR,UV_VISOR_MAGENTA,5,-3.25,-6.25,15.837060964711855,4
UV_VISOR,UV_VISOR_MAGENTA,10,-7.25,-10.75,42.34456871902228,4
UV_VISOR,UV_VISOR_MAGENTA,50,22.375,15.25,58.642321534877865,4
UV_VISOR,UV_VISOR_MAGENTA,200,-120.375,-108.5,41.99460530830121,4
UV_VISOR,UV_VISOR_ORANGE,1,4.75,6.25,7.232738070744716,4
UV_VISOR,UV_VISOR_ORANGE,5,5.375,3.0,22.023779761884654,4
UV_VISOR,UV_VISOR_ORANGE,10,19.5,22.0,16.109003693587013,4
UV_VISOR,UV_VISOR_ORANGE,50,-6.125,-13.5,56.2609711523006,4
UV_VISOR,UV_VISOR_ORANGE,200,28.25,68.5,105.273750289424,4
UV_VISOR,UV_VISOR_RED,1,-1.5,-1.5,10.5,2
UV_VISOR,UV_VISOR_RED,5,-8.5,-8.5,5.5,2
UV_VISOR,UV_VISOR_RED,10,-11.75,-11.75,25.25,2
UV_VISOR,UV_VISOR_RED,50,2.75,2.75,49.75,2
UV_VISOR,UV_VISOR_RED,200,25.75,25.75,176.75,2
UV_VISOR,UV_VISOR_YELLOW,1,-7.5,-11.5,8.640987597877148,3
UV_VISOR,UV_VISOR_YELLOW,5,-12.333333333333334,-31.0,29.637626235730977,3
UV_VISOR,UV_VISOR_YELLOW,10,-10.75,-10.75,40.25,2
UV_VISOR,UV_VISOR_YELLOW,50,1.75,1.75,34.75,2
UV_VISOR,UV_VISOR_YELLOW,200,62.25,62.25,73.75,2
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,1,-1.0,0.0,6.164414002968976,3
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,5,-8.666666666666666,3.0,17.93197020841702,3
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,10,-16.666666666666668,-14.0,16.438437341250605,3
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,50,-26.0,-29.0,12.832251036613439,3
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,200,21.166666666666668,-46.0,103.95217917655962,3
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,1,-14.0,-14.0,0.0,1
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,5,-17.0,-17.0,0.0,1
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,10,-38.0,-38.0,0.0,1
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,50,-156.5,-156.5,0.0,1
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,200,-323.0,-323.0,0.0,1
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1,-1.0,-1.0,5.0,2
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,5,-17.25,-17.25,18.25,2
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,10,-34.5,-34.5,3.5,2
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,50,-49.0,-49.0,22.0,2
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,200,-17.5,-17.5,79.5,2
TRANSLATOR,TRANSLATOR_SPACE_GRAY,1,13.0,13.0,0.0,1
TRANSLATOR,TRANSLATOR_SPACE_GRAY,5,-1.0,-1.0,0.0,1
TRANSLATOR,TRANSLATOR_SPACE_GRAY,10,-5.0,-5.0,0.0,1
TRANSLATOR,TRANSLATOR_SPACE_GRAY,50,30.5,30.5,0.0,1
TRANSLATOR,TRANSLATOR_SPACE_GRAY,200,22.5,22.5,0.0,1
TRANSLATOR,TRANSLATOR_VOID_BLUE,1,-7.5,-7.5,4.5,2
TRANSLATOR,TRANSLATOR_VOID_BLUE,5,-17.75,-17.75,8.75,2
TRANSLATOR,TRANSLATOR_VOID_BLUE,10,-32.5,-32.5,3.5,2
TRANSLATOR,TRANSLATOR_VOID_BLUE,50,-72.75,-72.75,78.25,2
TRANSLATOR,TRANSLATOR_VOID_BLUE,200,-21.0,-21.0,142.0,2
PANEL,PANEL_1X2,1,3.0,3.0,0.0,1
PANEL,PANEL_1X2,5,15.0,15.0,0.0,1
PANEL,PANEL_1X2,10,28.5,28.5,0.0,1
PANEL,PANEL_1X2,50,-22.5,-22.5,0.0,1
PANEL,PANEL_1X2,200,14.0,14.0,0.0,1
PANEL,PANEL_1X4,1,-5.166666666666667,-4.0,2.778888666755511,3
PANEL,PANEL_1X4,5,-10.5,-7.0,5.307227776030219,3
PANEL,PANEL_1X4,10,-19.5,-27.0,18.1429508808977,3
PANEL,PANEL_1X4,50,27.166666666666668,38.0,76.92889935229515,3
PANEL,PANEL_1X4,200,118.33333333333333,91.0,92.26983376067295,3
PANEL,PANEL_2X2,1,-2.75,-2.75,3.25,2
PANEL,PANEL_2X2,5,4.0,4.0,2.0,2
PANEL,PANEL_2X2,10,14.75,14.75,8.25,2
PANEL,PANEL_2X2,50,64.75,64.75,37.25,2
PANEL,PANEL_2X2,200,55.25,55.25,9.75,2
PANEL,PANEL_2X4,1,6.0,6.0,0.0,1
PANEL,PANEL_2X4,5,-26.5,-26.5,0.0,1
PANEL,PANEL_2X4,10,-72.0,-72.0,0.0,1
PANEL,PANEL_2X4,50,-28.0,-28.0,0.0,1
PANEL,PANEL_2X4,200,-94.0,-94.0,0.0,1
PANEL,PANEL_4X4,1,-11.5,-11.5,0.0,2
PANEL,PANEL_4X4,5,17.25,17.25,9.25,2
PANEL,PANEL_4X4,10,19.5,19.5,19.0,2
PANEL,PANEL_4X4,50,31.0,31.0,75.5,2
PANEL,PANEL_4X4,200,87.25,87.25,25.25,2
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,1,28.691666666666666,0.0,44.8896880945081,60
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,5,40.4,0.0,51.94177830353264,60
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,10,38.15,0.0,52.48502167285443,60
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,50,42.85,31.5,99.98271934022733,60
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,200,31.883333333333333,-14.75,212.29991298998584,60
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,1,-2.0,-2.0,2.5,2
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,5,15.25,15.25,15.75,2
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,10,26.25,26.25,13.25,2
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,50,-40.75,-40.75,38.75,2
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,200,-100.75,-100.75,3.25,2
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,1,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,5,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,10,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,50,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,200,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,1,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,5,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,10,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,50,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,200,,,,0
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,1,23.508928571428573,0.0,42.18639454333976,56
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,5,33.857142857142854,0.0,47.23721617365628,56
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,10,37.017857142857146,0.0,49.20556046954906,56
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,50,37.67857142857143,0.0,63.432010041927434,56
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,200,46.1875,48.25,92.20249272757528,56
SNACKPACK,SNACKPACK_CHOCOLATE,1,7.666666666666667,8.5,9.204467514322717,3
SNACKPACK,SNACKPACK_CHOCOLATE,5,9.833333333333334,8.0,9.276613366717163,3
SNACKPACK,SNACKPACK_CHOCOLATE,10,1.8333333333333333,8.5,19.758261282028055,3
SNACKPACK,SNACKPACK_CHOCOLATE,50,-2.5,-35.5,61.73464721423997,3
SNACKPACK,SNACKPACK_CHOCOLATE,200,57.666666666666664,22.5,55.486234529135444,3
SNACKPACK,SNACKPACK_VANILLA,1,-4.0,-4.0,0.0,1
SNACKPACK,SNACKPACK_VANILLA,5,7.0,7.0,0.0,1
SNACKPACK,SNACKPACK_VANILLA,10,18.0,18.0,0.0,1
SNACKPACK,SNACKPACK_VANILLA,50,84.0,84.0,0.0,1
SNACKPACK,SNACKPACK_VANILLA,200,29.0,29.0,0.0,1
SNACKPACK,SNACKPACK_RASPBERRY,1,3.25,3.25,0.75,2
SNACKPACK,SNACKPACK_RASPBERRY,5,5.0,5.0,10.0,2
SNACKPACK,SNACKPACK_RASPBERRY,10,30.25,30.25,3.25,2
SNACKPACK,SNACKPACK_RASPBERRY,50,57.75,57.75,21.25,2
SNACKPACK,SNACKPACK_RASPBERRY,200,87.5,87.5,16.5,2
SNACKPACK,SNACKPACK_STRAWBERRY,1,17.0,17.0,0.0,1
SNACKPACK,SNACKPACK_STRAWBERRY,5,10.5,10.5,0.0,1
SNACKPACK,SNACKPACK_STRAWBERRY,10,1.5,1.5,0.0,1
SNACKPACK,SNACKPACK_STRAWBERRY,50,39.0,39.0,0.0,1
SNACKPACK,SNACKPACK_STRAWBERRY,200,93.0,93.0,0.0,1
SNACKPACK,SNACKPACK_PISTACHIO,1,0.5,0.5,0.0,1
SNACKPACK,SNACKPACK_PISTACHIO,5,22.5,22.5,0.0,1
SNACKPACK,SNACKPACK_PISTACHIO,10,3.5,3.5,0.0,1
SNACKPACK,SNACKPACK_PISTACHIO,50,20.5,20.5,0.0,1
SNACKPACK,SNACKPACK_PISTACHIO,200,16.5,16.5,0.0,1
