day,timestamp,GALAXY_SOUNDS,MICROCHIP,OXYGEN_SHAKE,PANEL,PEBBLES,ROBOT,SLEEP_POD,SNACKPACK,TRANSLATOR,UV_VISOR
2,3400,3.2,0.4,-1.4,7.2,-0.1,-1.9,-6.8,1.6,7.0,-1.6
2,3500,-2.6,4.0,1.2,0.2,0.2,-3.1,1.8,-1.0,-0.8,0.1
2,3600,6.8,0.0,2.6,4.4,0.0,-1.2,-0.4,1.2,-2.9,-1.9
2,3700,-2.6,-6.1,-2.0,-11.0,-0.2,-1.2,1.5,-1.0,-2.3,5.8
2,3800,-0.2,0.3,-6.1,7.4,0.0,-9.4,9.9,-1.1,-2.0,-2.0
2,3900,-2.4,0.4,0.3,-3.1,0.0,-3.8,2.4,1.5,-4.0,0.2
2,4000,5.5,0.0,2.4,-4.9,0.0,1.7,6.2,0.8,3.0,-2.2
2,4100,-0.7,1.2,-5.4,3.6,0.2,-4.0,-2.5,-2.0,-5.4,-4.8
2,4200,0.8,-1.2,2.3,8.2,0.0,-5.4,-3.2,1.8,-4.4,7.1
2,4300,-4.2,0.4,-0.3,-4.0,-0.2,-0.1,6.0,0.4,-2.2,-3.5
2,4400,-2.2,-0.6,-2.2,-1.4,0.1,-1.0,-1.0,-0.4,-0.4,-3.2
2,4500,0.8,2.6,2.2,-1.3,0.1,-2.4,9.3,-1.1,0.4,4.8
2,4600,7.2,0.8,-0.4,2.7,0.0,-1.2,-3.4,-0.7,-1.3,-7.5
2,4700,6.8,-0.2,4.8,3.9,-0.1,-5.2,4.8,0.4,-2.5,0.7
2,4800,4.4,0.6,2.2,-1.8,0.0,1.2,-9.2,-0.5,-3.9,-0.6
2,4900,6.1,-1.6,-0.6,1.1,-0.1,6.0,-1.3,-1.1,3.3,-5.0
2,5000,7.0,2.8,0.0,-2.4,0.0,-3.3,-1.5,-1.4,5.4,6.6
2,5100,0.7,5.4,-0.2,-3.6,0.0,-2.1,-3.2,0.9,-3.8,-5.6
2,5200,-7.5,-1.8,-8.8,-8.4,0.2,3.4,-4.6,-0.1,0.2,-4.2
2,5300,0.4,1.1,3.2,6.6,0.0,3.6,-4.4,-0.7,-5.5,-3.9
2,5400,0.1,1.4,0.8,2.2,-0.3,18.6,6.2,-1.9,10.3,4.8
2,5500,2.8,-1.3,7.1,-4.2,0.2,5.3,1.2,1.0,4.8,5.3
2,5600,-0.8,-2.8,1.1,-3.8,0.1,-7.3,1.6,3.0,0.8,1.0
2,5700,0.4,-3.0,0.2,7.7,0.0,-1.8,2.8,-1.6,2.8,-5.7
2,5800,-1.1,-1.6,-0.2,-8.3,-0.1,2.7,-6.0,0.6,-6.2,5.4
2,5900,2.2,-3.6,-5.4,9.0,0.0,11.1,0.0,-1.1,-0.2,-3.5
2,6000,1.2,-0.8,2.2,3.1,0.0,2.0,-0.5,0.2,6.6,-1.2
2,6100,1.7,6.0,-5.6,-4.1,0.0,2.7,-1.4,-0.7,4.0,7.7
2,6200,-6.7,3.3,-4.8,-2.3,0.1,5.5,-1.3,0.3,11.6,3.1
2,6300,-7.4,-1.2,1.0,2.7,-3.7,8.9,3.2,-0.3,-1.0,-1.6
2,6400,1.6,-2.9,-3.0,-3.0,3.4,-3.2,-12.0,-0.3,11.0,3.2
2,6500,4.5,2.8,0.4,-4.1,0.3,-3.8,3.4,1.4,4.4,10.8
2,6600,-10.4,-0.7,-4.6,2.5,0.0,0.5,5.4,0.4,3.2,2.0
2,6700,-4.0,2.1,5.2,3.9,-0.2,2.6,5.8,-1.3,1.0,-0.8
2,6800,-4.1,8.0,-0.4,8.0,0.1,5.3,-2.2,-2.2,4.6,1.9
2,6900,1.9,1.0,-6.4,-2.4,0.1,-0.2,2.8,1.6,-0.6,1.0
2,7000,-4.1,-6.0,-1.2,-1.2,-0.1,-26.5,5.0,1.2,4.6,-1.0
2,7100,-6.2,6.0,-0.3,-0.4,0.1,0.3,-3.2,0.1,-6.4,4.5
2,7200,1.8,0.0,7.3,1.9,-0.1,-1.7,3.0,-0.4,-5.2,-0.1
2,7300,-3.5,-6.4,2.4,0.3,-0.1,-1.3,-4.7,-1.2,0.3,1.5
2,7400,-2.0,-3.0,8.8,2.9,0.2,-4.5,-3.7,0.3,4.1,7.4
2,7500,4.4,-4.4,-0.8,8.8,-0.3,0.9,-0.1,-0.5,6.6,0.3
2,7600,1.4,5.2,-5.8,-4.0,0.3,8.7,1.0,0.6,-0.4,1.2
2,7700,-0.4,-2.1,5.2,-5.7,0.0,-7.6,-8.3,-0.6,-0.1,4.3
2,7800,1.1,-1.9,2.8,6.3,-0.2,7.2,1.4,-1.3,-5.7,-5.2
2,7900,-12.1,1.6,4.6,-9.0,0.1,-12.6,-7.6,0.8,1.8,-0.7
2,8000,3.0,-5.0,4.2,-2.8,0.0,2.8,-2.8,-1.0,-2.4,6.8
2,8100,-1.2,0.7,3.7,-12.9,-0.3,1.9,3.0,-0.6,0.0,-3.9
2,8200,-3.2,1.1,1.1,1.1,0.3,3.3,-0.4,1.4,4.2,-5.0
2,8300,-4.4,-1.6,-6.2,-4.4,0.1,-6.0,0.4,3.1,-6.0,6.0
2,8400,-2.2,-6.8,-1.8,1.8,-0.3,-3.5,1.2,-0.2,-0.7,-0.4
2,8500,-9.4,-6.6,6.0,-1.8,3.1,-0.5,3.4,-0.7,3.9,-6.6
2,8600,-1.1,-3.6,3.8,6.7,-3.0,-6.0,-4.2,1.3,10.0,-4.8
2,8700,-3.4,6.2,2.4,9.7,0.0,5.0,1.4,-0.5,0.2,1.7
2,8800,-5.1,-1.0,0.2,0.8,0.1,10.9,-3.1,1.0,6.0,1.1
2,8900,-1.6,-2.8,-10.4,2.3,0.1,-1.1,2.5,-0.2,-3.2,1.5
2,9000,2.9,-2.0,1.9,1.1,-0.1,6.1,-2.4,0.6,-2.4,4.1
2,9100,3.7,-7.4,3.1,-2.6,-3.4,-7.5,-0.8,1.2,5.8,9.7
2,9200,6.6,-4.0,1.9,3.2,3.4,0.8,-10.5,0.8,5.2,0.3
2,9300,-5.8,2.4,-1.1,10.4,0.1,-3.8,6.7,0.4,-8.6,-1.5
2,9400,-2.1,0.0,-3.8,-2.0,-0.1,5.1,3.1,0.6,6.3,-11.1
2,9500,5.9,-0.8,-2.3,-4.3,0.1,-6.9,-0.2,1.0,2.5,4.4
2,9600,0.2,1.2,-0.8,2.8,-0.1,4.0,-4.6,-1.2,1.8,3.5
2,9700,-6.7,6.6,-0.5,-4.5,0.0,1.4,0.7,-0.3,-3.6,3.1
2,9800,-6.9,2.8,-12.6,-0.5,-0.1,-3.6,5.7,0.2,-3.4,8.6
2,9900,-4.0,3.2,-2.2,-6.3,0.1,-6.6,9.0,1.1,6.4,-4.2
2,10000,-8.3,-3.2,-6.6,4.9,0.0,2.1,-0.1,0.6,8.0,-7.2
2,10100,-6.0,-3.6,-0.8,1.7,-0.1,2.2,-9.1,-0.6,-2.4,-8.0
2,10200,-0.6,-1.0,7.3,3.2,0.0,-2.9,4.0,-4.1,-2.5,-0.3
2,10300,3.3,0.3,6.5,5.6,0.1,2.7,3.7,3.5,2.7,0.3
2,10400,-4.3,-2.6,3.1,0.6,0.0,5.2,3.2,-1.0,7.5,1.1
2,10500,-3.3,-4.0,-1.1,-3.4,-0.1,0.4,-6.0,0.6,-7.7,-2.4
2,10600,-4.0,-0.1,-0.8,-0.6,0.1,-1.4,-2.6,-0.6,-4.2,1.4
2,10700,-5.1,-0.8,2.6,3.4,-0.1,-10.0,6.0,2.2,4.4,2.6
2,10800,1.1,0.1,0.6,0.1,0.1,-8.9,6.4,-0.4,-0.8,5.4
2,10900,1.0,11.0,-3.0,-0.1,-0.1,-1.3,-4.4,-0.1,-3.2,4.7
2,11000,-1.3,-5.9,6.4,-3.4,0.1,3.5,-7.6,-1.1,-0.6,2.0
2,11100,0.1,8.2,-1.4,2.0,0.2,5.5,-2.8,0.5,0.6,2.9
2,11200,5.3,-4.2,22.5,-1.0,-0.3,8.5,4.0,3.1,-0.3,2.5
2,11300,-4.2,-1.0,-6.8,-4.7,0.2,-1.1,-4.4,-5.4,-1.5,-7.0
2,11400,3.0,0.5,-6.0,0.9,-0.1,-7.2,1.2,3.0,3.0,6.7
2,11500,-2.1,0.9,-6.9,2.8,0.0,-0.3,1.6,-1.1,0.8,2.5
2,11600,-3.1,-5.6,-0.4,8.2,-0.1,-4.8,-0.4,0.3,-2.1,4.8
2,11700,-1.9,2.8,-1.6,-0.7,0.0,-6.1,-10.6,0.2,-10.9,-3.5
2,11800,1.9,-1.0,0.0,-0.1,0.1,-4.0,1.8,1.2,5.8,4.1
2,11900,3.6,1.8,5.8,1.1,0.1,5.1,1.0,2.2,-2.1,9.5
2,12000,5.9,4.8,0.8,4.6,-0.2,2.0,-4.8,-2.4,2.5,7.2
2,12100,-3.4,0.5,2.4,-6.9,0.0,2.3,7.0,-0.2,-5.6,2.5
2,12200,0.2,2.5,0.0,1.2,0.1,3.0,-2.0,1.8,0.8,-4.6
2,12300,-1.8,-0.2,-6.4,0.2,-0.1,-2.0,3.3,1.2,-2.4,-7.6
2,12400,-8.3,-2.6,-18.1,0.0,0.2,3.6,1.3,-0.4,-2.3,3.0
2,12500,-2.5,0.8,-1.1,2.6,-0.1,-3.8,-1.0,-0.2,3.3,6.1
2,12600,-2.3,-2.7,0.0,2.7,-0.2,0.5,-6.0,0.6,1.8,-0.3
2,12700,3.8,1.0,-4.1,-3.9,0.1,1.4,6.6,-0.8,-2.2,-5.2
2,12800,-0.3,-1.3,0.9,-4.8,0.1,-3.4,-4.6,0.2,-7.0,-5.4
2,12900,2.0,-0.2,-8.2,0.5,-0.2,1.4,-0.1,-0.2,-0.4,4.4
2,13000,3.0,-11.8,-7.2,-0.1,0.2,-2.8,-11.5,-0.2,-2.0,-0.8
2,13100,-1.4,2.6,7.1,-1.8,-0.1,6.4,8.2,-0.3,4.2,4.2
2,13200,0.8,8.8,-0.2,-6.3,0.0,1.9,1.2,1.3,-1.8,5.1
2,13300,12.3,1.4,1.4,-3.8,0.2,-4.3,12.0,1.8,1.8,-5.9
2,13400,-3.0,-5.8,-6.0,6.7,0.0,1.3,5.7,-1.6,3.1,-4.2
2,13500,-3.3,4.4,-6.7,6.1,-0.2,3.6,3.9,1.2,1.6,-14.0
2,13600,-8.1,-0.4,-2.0,4.0,0.2,4.9,-6.1,-1.8,1.3,3.1
2,13700,5.0,-10.6,-0.6,0.3,-0.1,0.3,6.7,0.0,-12.4,4.9
2,13800,6.5,-5.7,-0.8,1.1,0.1,2.3,5.0,0.4,-3.4,-1.8
2,13900,-1.3,7.6,9.6,-1.7,-0.1,-3.2,-1.6,0.8,-2.4,2.6
2,14000,-4.5,-9.8,8.3,1.8,0.0,-6.5,1.4,0.6,-5.4,-9.3
2,14100,2.1,-2.3,-11.7,4.6,0.0,2.8,0.8,1.2,1.8,8.3
2,14200,3.8,-3.9,-1.1,0.0,0.0,4.1,4.0,1.6,-7.0,-4.2
2,14300,-3.1,3.5,-3.3,0.2,-0.1,-2.6,8.6,1.2,2.0,8.9
2,14400,0.2,-3.2,-5.2,-2.4,0.1,-5.5,0.0,-0.4,-0.3,2.5
2,14500,-6.3,-6.7,5.6,0.4,-0.1,2.5,-5.4,1.2,-1.2,6.0
2,14600,5.8,4.5,3.2,-1.4,0.2,1.7,-5.3,-3.1,-4.3,4.2
2,14700,-3.8,11.6,-2.5,-7.1,2.8,9.3,-3.3,-0.7,0.0,-0.9
2,14800,-1.5,-11.3,4.8,3.8,-2.9,-0.5,-1.3,-2.0,-1.0,1.0
2,14900,1.9,-5.5,1.7,7.1,0.0,-8.7,-3.7,-0.2,3.9,0.2
2,15000,4.8,11.6,2.2,3.4,0.0,-3.5,-3.6,1.0,0.1,-0.1
2,15100,5.9,3.6,2.1,3.8,0.0,-2.7,2.0,0.8,9.1,3.6
2,15200,-0.6,-7.7,1.3,-0.9,0.2,3.8,4.0,-0.2,3.2,-2.2
2,15300,-4.4,-1.4,1.0,0.9,-0.3,3.3,-0.3,-1.4,0.3,-2.9
2,15400,-6.3,6.0,2.9,3.8,0.0,5.1,-2.9,-2.0,-0.2,8.1
2,15500,-5.8,-7.4,3.1,2.7,0.2,2.4,-7.4,0.2,2.4,9.2
2,15600,4.6,-2.7,3.2,1.5,0.0,-1.5,-3.9,-2.0,-3.1,2.2
2,15700,-1.8,0.9,7.8,-0.8,-0.1,-1.8,4.7,3.8,-0.5,11.3
2,15800,-7.2,-0.3,-9.4,-2.4,0.1,1.4,-8.2,-3.6,-1.2,-4.8
2,15900,1.5,-3.8,-4.6,-7.8,-0.2,4.4,1.7,-0.6,-0.2,2.7
2,16000,0.4,2.1,-5.4,10.0,0.1,-0.9,3.1,2.2,-1.4,-3.7
2,16100,-0.5,-2.9,0.4,6.4,-0.1,-9.9,4.1,-1.0,-1.9,2.4
2,16200,7.7,2.4,-5.4,1.8,0.0,-5.5,2.3,2.2,1.4,2.7
2,16300,0.2,-4.3,4.2,1.2,-0.1,-5.2,-5.0,-0.8,-0.6,11.5
2,16400,-3.4,-0.5,-8.2,-1.0,0.2,2.4,2.6,-0.8,-5.6,7.4
2,16500,7.5,-1.7,6.0,4.0,0.0,7.9,2.7,-1.2,-1.7,-6.9
2,16600,1.2,1.5,1.2,0.8,0.0,5.8,-3.0,1.6,-1.4,-0.4
2,16700,1.8,-3.8,-6.0,5.2,0.0,-0.7,0.1,-3.5,1.0,2.8
2,16800,5.8,-2.0,7.8,-2.0,0.1,-4.5,2.6,-0.1,0.0,-7.4
2,16900,1.9,5.1,-5.7,-11.0,-0.2,-3.3,-7.9,0.8,3.8,1.9
2,17000,-1.7,-3.7,1.4,8.2,0.1,-1.2,-4.7,1.6,-3.6,2.8
2,17100,-1.9,-8.5,-10.7,0.9,0.0,-1.1,2.0,1.6,-1.2,1.5
2,17200,-3.8,-4.9,4.4,2.1,0.0,-3.4,3.0,0.1,0.2,1.7
2,17300,-0.8,1.0,-0.2,4.0,0.0,1.0,2.6,-0.4,1.6,-5.8
2,17400,-10.0,3.4,-3.2,0.2,-0.1,-7.6,-0.8,0.1,2.0,4.9
2,17500,3.3,-3.3,-7.6,6.7,0.0,0.4,1.6,2.2,-2.4,2.8
2,17600,-4.9,-4.5,1.6,1.4,0.0,-4.7,-1.6,-0.4,4.4,-0.3
2,17700,-2.1,2.4,2.4,3.1,0.1,-0.4,-0.4,2.0,0.6,-6.7
2,17800,-4.8,-7.4,4.8,7.8,0.0,-3.9,-3.2,-0.4,3.8,-4.4
2,17900,5.7,5.5,-8.0,1.2,0.1,5.8,4.0,0.8,4.4,4.6
2,18000,-5.5,-4.3,-11.2,-0.6,-0.2,-1.4,4.2,-0.6,3.6,-5.3
2,18100,0.8,-4.2,1.0,10.8,0.1,6.3,-0.6,-0.7,-4.8,3.3
2,18200,3.8,-2.0,4.8,-0.7,0.1,-4.8,-0.6,-1.1,0.0,0.4
2,18300,-0.5,-0.1,-7.1,0.7,-0.2,-2.1,-2.0,-0.2,3.0,6.7
2,18400,-1.0,3.1,1.0,4.9,0.2,1.2,0.8,1.1,5.6,-3.1
2,18500,7.1,-1.6,-2.3,10.3,0.1,2.2,3.6,0.2,2.0,-7.4
2,18600,-1.3,7.2,-3.6,5.3,-0.2,-2.2,-8.6,-0.8,-4.6,0.6
2,18700,-0.3,0.6,2.4,-5.3,0.0,0.2,-5.2,-0.7,-3.0,9.0
2,18800,3.2,4.6,5.1,2.9,0.0,-3.6,-3.4,0.4,3.3,-0.2
2,18900,6.3,-5.6,2.3,1.7,0.0,5.9,-6.2,1.1,-4.7,2.2
2,19000,-0.7,4.0,-2.5,-8.0,0.1,0.1,7.5,1.3,-0.7,7.7
2,19100,1.7,-2.6,9.5,9.4,-0.1,-4.3,7.9,4.0,-3.0,-9.6
2,19200,-1.3,6.0,-2.9,-0.2,-0.1,8.7,1.6,-5.8,2.5,2.2
2,19300,-7.3,13.1,-0.7,8.9,0.1,-2.6,0.0,0.2,2.9,-1.0
2,19400,2.0,4.2,3.8,0.1,0.0,-1.7,-7.6,-1.2,-0.9,-2.5
2,19500,5.2,-6.1,3.4,1.7,0.0,-2.3,-0.3,2.2,2.4,-1.6
2,19600,4.3,-8.2,2.4,-1.1,0.0,10.9,-4.0,0.3,4.0,-2.3
2,19700,3.0,-2.6,8.3,-0.3,0.0,-7.6,-6.4,0.6,2.3,-3.5
2,19800,-2.5,1.1,-4.5,5.1,0.0,-4.4,-0.1,1.5,-0.4,-0.5
2,19900,2.3,-6.8,2.6,-3.6,-0.1,-6.8,1.0,1.0,4.1,-0.4
2,20000,-0.9,6.3,-6.0,1.3,0.0,2.7,-2.6,0.3,3.2,0.7
2,20100,0.4,-14.2,-4.8,3.6,0.1,2.5,-3.6,-0.5,2.4,2.9
2,20200,4.6,10.2,1.7,-2.1,0.0,-0.1,3.2,-1.6,-6.0,4.8
2,20300,2.0,-12.2,3.7,-7.7,0.1,1.1,2.8,-1.0,3.4,6.0
2,20400,2.8,6.5,8.3,-5.1,-0.1,4.8,2.3,-2.6,2.4,-1.5
2,20500,3.2,3.0,9.9,-5.6,-0.1,2.5,5.7,-0.8,1.9,-3.0
2,20600,-0.6,-3.7,-1.4,-8.0,0.0,2.4,-4.0,0.3,1.1,0.0
2,20700,5.2,0.8,1.9,-2.0,0.2,-3.9,2.0,-1.3,6.0,7.8
2,20800,-0.3,4.1,13.1,3.0,-0.1,6.4,4.2,0.6,1.9,-0.4
2,20900,-4.0,3.3,3.2,-1.7,0.1,7.2,3.0,1.2,11.1,5.2
2,21000,1.3,3.0,-4.2,10.7,-0.2,-2.7,-1.1,0.2,0.9,-6.4
2,21100,3.3,-4.5,-3.9,-4.9,0.2,-7.3,-0.5,-0.8,-2.7,-3.5
2,21200,-1.2,10.3,-2.6,-4.8,-0.1,4.6,2.5,-0.6,-9.4,-0.9
2,21300,2.4,10.0,0.7,3.5,0.0,7.8,1.2,-1.6,6.3,-4.0
2,21400,-4.1,-3.0,-2.6,-1.1,0.0,1.4,8.5,0.2,-3.7,-7.4
2,21500,-0.6,1.9,-0.2,-3.0,-0.2,3.6,7.6,1.2,-10.3,-1.1
2,21600,0.3,6.8,5.6,4.6,0.1,-4.5,-1.0,0.4,7.3,3.0
2,21700,2.8,-8.5,-1.6,1.7,0.2,-4.9,-5.4,0.9,6.6,6.3
2,21800,-4.7,-3.0,4.3,-3.0,0.0,2.9,-9.2,2.5,-1.2,1.0
2,21900,-8.5,-1.2,-3.5,0.4,-0.1,-2.1,10.7,1.8,-1.5,-8.3
2,22000,-4.8,-2.2,-0.3,8.6,-0.1,3.0,3.1,0.5,0.0,-2.4
2,22100,-1.6,-2.8,22.9,4.2,0.0,0.8,3.4,0.1,2.0,3.0
2,22200,5.0,7.2,0.0,2.5,0.1,4.9,-6.2,-0.5,-2.4,0.7
2,22300,0.0,-0.1,-7.2,-8.8,0.0,5.7,6.2,-1.0,-2.9,0.1
2,22400,-5.3,4.1,4.4,3.9,-0.1,-2.7,2.7,0.5,1.7,4.7
2,22500,2.0,6.4,2.8,-2.4,0.1,-4.1,3.2,-0.1,6.1,4.0
2,22600,-2.2,0.5,0.6,5.8,0.0,-6.5,4.3,-1.4,-3.6,-7.6
2,22700,-0.3,-4.8,-4.6,-6.0,0.0,-7.1,3.0,-0.9,1.6,2.7
2,22800,-0.1,-8.8,-0.4,4.2,0.1,3.2,-4.6,-0.2,0.4,-5.0
2,22900,1.7,-5.0,-1.2,1.8,-0.2,-2.7,1.7,0.2,7.4,2.3
2,23000,4.1,11.2,7.2,-0.9,0.1,-8.4,5.2,-0.4,-2.2,-0.3
2,23100,8.4,8.7,4.7,-7.3,0.0,6.9,-4.2,0.5,2.4,-4.2
2,23200,4.2,-3.2,1.2,-2.2,0.1,1.6,1.0,-2.2,-2.6,0.7
2,23300,2.8,-3.4,-4.2,-8.8,-0.1,-0.5,-1.0,0.1,-2.2,-2.1
2,23400,-10.4,-3.1,1.7,-5.8,0.0,-0.7,-3.7,0.0,-9.6,1.9
2,23500,4.5,4.2,-8.0,-2.1,0.1,9.0,1.2,-1.0,-3.4,2.7
2,23600,1.4,-0.1,-4.8,4.9,-0.1,-1.4,-7.1,1.3,0.6,0.1
2,23700,-3.0,13.6,0.5,-3.8,-0.1,2.5,2.9,-2.1,-4.4,-1.5
2,23800,0.8,7.4,-0.3,-2.9,0.0,-1.9,-3.8,-1.8,-11.8,5.7
2,23900,7.4,-6.4,4.4,-3.2,0.2,3.8,1.9,-2.1,-1.8,0.6
2,24000,-7.8,11.3,0.0,-2.5,-0.2,1.5,1.5,0.1,-1.0,-2.4
2,24100,7.8,-0.9,-3.9,-0.4,0.1,-8.8,-0.5,0.7,4.6,0.9
2,24200,1.2,6.1,-3.1,1.9,0.0,3.2,-2.6,0.7,-1.4,2.0
2,24300,-4.4,-1.7,-6.0,-0.6,0.1,3.6,2.3,0.4,6.6,4.3
2,24400,2.4,-4.1,2.0,2.3,-0.1,-2.7,0.9,0.6,-1.0,2.0
2,24500,-3.6,-8.3,-8.4,1.4,0.0,-4.0,0.5,-0.4,-7.4,-9.8
2,24600,6.4,-2.6,2.0,7.2,0.0,0.0,4.5,-0.6,1.2,-5.0
2,24700,1.3,-4.6,3.4,7.8,0.1,-1.2,0.5,0.7,-4.7,-9.3
2,24800,3.3,-6.6,-2.0,-6.7,0.0,1.3,5.3,0.2,1.1,3.1
2,24900,-0.8,-1.8,-5.0,-4.2,-0.1,0.0,2.1,1.7,-5.0,-4.8
2,25000,6.0,-7.1,1.3,4.4,0.0,6.0,0.8,0.6,6.2,2.0
2,25100,-2.9,13.0,-5.9,-0.6,0.1,-8.7,-1.0,-1.7,-4.8,1.6
2,25200,-2.8,7.5,-0.7,1.5,-0.2,1.6,-1.1,-0.4,-5.2,-1.5
2,25300,-2.2,2.4,3.3,0.7,0.2,-2.7,-2.5,2.1,2.0,-7.7
2,25400,-7.5,2.8,-4.4,4.4,-0.2,-4.5,0.0,0.9,-4.0,0.9
2,25500,-3.9,-7.0,2.4,2.3,0.0,-0.7,-1.8,0.5,11.6,0.7
2,25600,-6.4,-5.6,4.5,2.8,0.2,-11.9,-5.2,-0.2,-0.8,3.1
2,25700,-2.0,7.0,-1.8,1.6,0.0,-0.5,4.6,1.2,2.2,-3.1
2,25800,-1.9,-0.3,2.5,-1.0,-0.1,4.6,5.3,-0.4,-6.9,-0.2
2,25900,2.4,-4.7,0.6,-1.2,-0.1,3.2,7.3,1.1,-3.9,9.2
2,26000,-1.0,-0.4,-1.0,3.4,0.0,5.4,1.8,1.4,-4.4,0.0
2,26100,11.1,0.6,-0.2,-0.7,0.0,-0.6,5.4,0.5,-3.2,1.0
2,26200,-5.5,4.0,5.2,-3.4,-3.3,-8.2,9.4,1.2,-2.0,-7.8
2,26300,-1.4,-8.8,3.4,2.4,3.3,-4.7,6.0,-0.7,0.8,-1.5
2,26400,1.9,10.0,11.2,0.5,0.3,-3.1,4.8,0.9,-4.7,5.9
2,26500,-1.5,-2.4,-4.4,-2.9,-0.3,0.5,0.5,1.8,5.9,3.4
2,26600,-4.6,11.4,-3.4,-4.3,0.0,6.8,6.7,0.4,-9.8,-1.4
2,26700,-1.4,-3.3,-2.4,-4.1,0.2,-0.4,1.2,0.4,-10.5,-6.7
2,26800,-4.5,-6.3,-3.0,1.0,-0.1,0.4,-0.2,1.6,3.4,1.5
2,26900,-2.3,-2.6,-3.4,-3.9,-0.1,-3.5,-7.3,-1.0,-2.5,-1.4
2,27000,1.0,-1.0,-0.4,-4.8,0.1,1.2,3.0,-0.6,3.5,-2.2
2,27100,0.5,5.8,-1.2,1.0,0.1,6.3,0.5,0.4,-5.7,-5.0
2,27200,3.9,-1.0,0.1,-3.0,-0.2,2.3,3.7,0.2,-0.2,2.9
2,27300,2.2,20.5,-5.1,-4.5,0.2,1.9,1.1,1.2,-3.0,3.9
2,27400,-1.7,-4.0,3.6,-2.0,-0.1,10.2,-3.3,-0.4,-6.4,9.9
2,27500,-0.5,-13.6,1.0,4.4,-0.2,5.7,-9.4,-1.4,1.0,4.0
2,27600,-1.3,9.7,0.0,-1.5,0.3,-4.3,-3.3,-1.6,0.5,-0.3
2,27700,-3.6,-5.9,-4.1,1.0,0.0,1.8,0.4,0.7,-3.9,-8.0
